,sal,rooz,Month,zola_Debi
14007,1354,27,11,2.39
14008,1354,28,11,2.39
14009,1354,29,11,2.39
14010,1354,30,11,2.52
14011,1354,31,11,
15376,1354,1,12,2.52
15377,1354,2,12,2.52
15378,1354,3,12,2.39
15379,1354,4,12,2.39
15380,1354,5,12,2.52
15381,1354,6,12,2.39
15382,1354,7,12,2.39
15383,1354,8,12,2.39
15384,1354,9,12,2.39
15385,1354,10,12,2.39
15386,1354,11,12,2.26
15387,1354,12,12,1.86
15388,1354,13,12,2.12
15389,1354,14,12,2.12
15390,1354,15,12,2.26
15391,1354,16,12,2.39
15392,1354,17,12,2.52
15393,1354,18,12,2.65
15394,1354,19,12,2.78
15395,1354,20,12,2.78
15396,1354,21,12,2.78
15397,1354,22,12,2.78
15398,1354,23,12,3.05
15399,1354,24,12,3.05
15400,1354,25,12,3.34
15401,1354,26,12,3.5
15402,1354,27,12,4.13
15403,1354,28,12,4.76
15404,1354,29,12,4.6
15405,1354,30,12,4.15
15406,1354,31,12,
62,1355,1,1,9.06
63,1355,2,1,8.4
64,1355,3,1,8.18
65,1355,4,1,8.18
66,1355,5,1,7.96
67,1355,6,1,7.74
68,1355,7,1,7.3
69,1355,8,1,7.08
70,1355,9,1,7.52
71,1355,10,1,8.18
72,1355,11,1,8.4
73,1355,12,1,8.18
74,1355,13,1,7.96
75,1355,14,1,7.74
76,1355,15,1,7.52
77,1355,16,1,7.52
78,1355,17,1,7.96
79,1355,18,1,7.96
80,1355,19,1,9.97
81,1355,20,1,9.97
82,1355,21,1,9.74
83,1355,22,1,9.06
84,1355,23,1,8.4
85,1355,24,1,7.96
86,1355,25,1,7.3
87,1355,26,1,6.45
88,1355,27,1,6.45
89,1355,28,1,6.45
90,1355,29,1,6.25
91,1355,30,1,5.64
92,1355,31,1,6.04
1457,1355,1,2,6.04
1458,1355,2,2,6.04
1459,1355,3,2,6.04
1460,1355,4,2,6.66
1461,1355,5,2,6.86
1462,1355,6,2,6.45
1463,1355,7,2,6.04
1464,1355,8,2,5.64
1465,1355,9,2,5.84
1466,1355,10,2,6.45
1467,1355,11,2,8.4
1468,1355,12,2,7.3
1469,1355,13,2,7.52
1470,1355,14,2,7.3
1471,1355,15,2,6.66
1472,1355,16,2,7.74
1473,1355,17,2,7.3
1474,1355,18,2,6.86
1475,1355,19,2,6.66
1476,1355,20,2,6.25
1477,1355,21,2,6.04
1478,1355,22,2,5.84
1479,1355,23,2,5.43
1480,1355,24,2,4.82
1481,1355,25,2,4.64
1482,1355,26,2,3.93
1483,1355,27,2,3.93
1484,1355,28,2,5.23
1485,1355,29,2,15.24
1486,1355,30,2,14.81
1487,1355,31,2,11.57
2852,1355,1,3,10.66
2853,1355,2,3,9.52
2854,1355,3,3,8.84
2855,1355,4,3,9.29
2856,1355,5,3,11.11
2857,1355,6,3,11.8
2858,1355,7,3,12.03
2859,1355,8,3,10.43
2860,1355,9,3,10.2
2861,1355,10,3,10.66
2862,1355,11,3,12.49
2863,1355,12,3,13.88
2864,1355,13,3,10.88
2865,1355,14,3,9.97
2866,1355,15,3,8.62
2867,1355,16,3,8.18
2868,1355,17,3,6.25
2869,1355,18,3,5.23
2870,1355,19,3,5.64
2871,1355,20,3,5.23
2872,1355,21,3,4.64
2873,1355,22,3,3.93
2874,1355,23,3,3.4
2875,1355,24,3,2.76
2876,1355,25,3,2.47
2877,1355,26,3,1.76
2878,1355,27,3,1.76
2879,1355,28,3,1.3
2880,1355,29,3,0.86
2881,1355,30,3,2.47
2882,1355,31,3,1.76
4247,1355,1,4,4.11
4248,1355,2,4,2.61
4249,1355,3,4,1.51
4250,1355,4,4,1.4
4251,1355,5,4,1.51
4252,1355,6,4,0.12
4253,1355,7,4,0.02
4254,1355,8,4,0.02
4255,1355,9,4,0.02
4256,1355,10,4,0.02
4257,1355,11,4,0.02
4258,1355,12,4,0.02
4259,1355,13,4,0.02
4260,1355,14,4,0.01
4261,1355,15,4,0.01
4262,1355,16,4,0.01
4263,1355,17,4,0.01
4264,1355,18,4,0.01
4265,1355,19,4,3.8
4266,1355,20,4,2.05
4267,1355,21,4,1.4
4268,1355,22,4,1.4
4269,1355,23,4,0.03
4270,1355,24,4,0.02
4271,1355,25,4,0.01
4272,1355,26,4,0.01
4273,1355,27,4,0.01
4274,1355,28,4,0.01
4275,1355,29,4,0.01
4276,1355,30,4,0.01
4277,1355,31,4,
5642,1355,1,5,
5643,1355,2,5,
5644,1355,3,5,
5645,1355,4,5,0.01
5646,1355,5,5,
5647,1355,6,5,0.01
5648,1355,7,5,
5649,1355,8,5,0.01
5650,1355,9,5,0.01
5651,1355,10,5,0.01
5652,1355,11,5,0.01
5653,1355,12,5,0.01
