,sal,rooz,Month,chehrig_olia_EV
4828,1365,24,4,13.6
4829,1365,25,4,12.6
4830,1365,26,4,13.6
4831,1365,27,4,12.6
4832,1365,28,4,12.6
4833,1365,29,4,12.6
4834,1365,30,4,11.3
4835,1365,31,4,10.6
6386,1365,1,5,10.2
6387,1365,2,5,12.9
6388,1365,3,5,8.7
6389,1365,4,5,10.5
6390,1365,5,5,11.7
6391,1365,6,5,8.0
6392,1365,7,5,11.3
6393,1365,8,5,12.6
6394,1365,9,5,12.6
6395,1365,10,5,10.2
6396,1365,11,5,9.1
6397,1365,12,5,6.8
6398,1365,13,5,6.2
6399,1365,14,5,7.3
6400,1365,15,5,10.2
6401,1365,16,5,11.3
6402,1365,17,5,11.3
6403,1365,18,5,11.3
6404,1365,19,5,11.3
6405,1365,20,5,12.6
6406,1365,21,5,12.6
6407,1365,22,5,12.6
6408,1365,23,5,12.6
6409,1365,24,5,13.6
6410,1365,25,5,11.7
6411,1365,26,5,12.9
6412,1365,27,5,11.3
6413,1365,28,5,8.0
6414,1365,29,5,8.0
6415,1365,30,5,8.0
6416,1365,31,5,7.3
7967,1365,1,6,10.2
7968,1365,2,6,9.1
7969,1365,3,6,12.6
7970,1365,4,6,13.6
7971,1365,5,6,4.5
7972,1365,6,6,5.7
7973,1365,7,6,8.2
7974,1365,8,6,5.7
7975,1365,9,6,6.8
7976,1365,10,6,5.7
7977,1365,11,6,6.8
7978,1365,12,6,6.8
7979,1365,13,6,8.0
7980,1365,14,6,6.8
7981,1365,15,6,9.1
7982,1365,16,6,6.8
7983,1365,17,6,8.0
7984,1365,18,6,8.0
7985,1365,19,6,8.0
7986,1365,20,6,6.8
7987,1365,21,6,5.5
7988,1365,22,6,3.5
7989,1365,23,6,5.7
7990,1365,24,6,6.8
7991,1365,25,6,5.7
7992,1365,26,6,5.5
7993,1365,27,6,4.5
7994,1365,28,6,3.7
7995,1365,29,6,5.7
7996,1365,30,6,5.7
7997,1365,31,6,5.7
9548,1365,1,7,8.0
9549,1365,2,7,10.2
9550,1365,3,7,10.2
9551,1365,4,7,10.2
9552,1365,5,7,8.0
9553,1365,6,7,8.0
9554,1365,7,7,4.4
9555,1365,8,7,5.3
9556,1365,9,7,1.5
9557,1365,10,7,3.3
9558,1365,11,7,2.5
9559,1365,12,7,3.4
9560,1365,13,7,5.7
9561,1365,14,7,5.7
9562,1365,15,7,3.4
9563,1365,16,7,3.4
9564,1365,17,7,2.7
9565,1365,18,7,2.9
9566,1365,19,7,3.4
9567,1365,20,7,4.5
9568,1365,21,7,3.4
9569,1365,22,7,4.0
9570,1365,23,7,3.4
9571,1365,24,7,3.4
9572,1365,25,7,3.4
9573,1365,26,7,5.7
9574,1365,27,7,4.1
9575,1365,28,7,0.8
9576,1365,29,7,5.4
9577,1365,30,7,2.0
9578,1365,31,7,
11129,1365,1,8,2.3
11130,1365,2,8,2.3
11131,1365,3,8,3.4
11132,1365,4,8,3.4
11133,1365,5,8,3.4
11134,1365,6,8,3.4
11135,1365,7,8,3.4
11136,1365,8,8,3.4
11137,1365,9,8,2.3
11138,1365,10,8,2.8
11139,1365,11,8,1.2
11140,1365,12,8,2.5
11141,1365,13,8,2.3
11142,1365,14,8,1.1
11143,1365,15,8,1.1
11144,1365,16,8,
11145,1365,17,8,1.1
11146,1365,18,8,0.3
11147,1365,19,8,0.4
11148,1365,20,8,1.2
11149,1365,21,8,
11150,1365,22,8,
11151,1365,23,8,
11152,1365,24,8,
11153,1365,25,8,
11154,1365,26,8,
11155,1365,27,8,
11156,1365,28,8,
11157,1365,29,8,
11158,1365,30,8,
11159,1365,31,8,
12710,1365,1,9,
12711,1365,2,9,
12712,1365,3,9,
12713,1365,4,9,
12714,1365,5,9,
12715,1365,6,9,
12716,1365,7,9,
12717,1365,8,9,
12718,1365,9,9,
12719,1365,10,9,
12720,1365,11,9,
12721,1365,12,9,
12722,1365,13,9,
12723,1365,14,9,
12724,1365,15,9,
12725,1365,16,9,
12726,1365,17,9,
12727,1365,18,9,
12728,1365,19,9,
12729,1365,20,9,
12730,1365,21,9,
12731,1365,22,9,
12732,1365,23,9,
12733,1365,24,9,
12734,1365,25,9,
12735,1365,26,9,
12736,1365,27,9,
12737,1365,28,9,
12738,1365,29,9,
12739,1365,30,9,
12740,1365,31,9,
14291,1365,1,10,
14292,1365,2,10,
14293,1365,3,10,
14294,1365,4,10,
14295,1365,5,10,
14296,1365,6,10,
14297,1365,7,10,
14298,1365,8,10,
14299,1365,9,10,
14300,1365,10,10,
14301,1365,11,10,
14302,1365,12,10,
14303,1365,13,10,
14304,1365,14,10,
14305,1365,15,10,
14306,1365,16,10,
14307,1365,17,10,
14308,1365,18,10,
14309,1365,19,10,
14310,1365,20,10,
14311,1365,21,10,
14312,1365,22,10,
14313,1365,23,10,
14314,1365,24,10,
14315,1365,25,10,
14316,1365,26,10,
14317,1365,27,10,
14318,1365,28,10,
14319,1365,29,10,
14320,1365,30,10,
14321,1365,31,10,
15872,1365,1,11,
15873,1365,2,11,
15874,1365,3,11,
15875,1365,4,11,
15876,1365,5,11,
15877,1365,6,11,
15878,1365,7,11,
15879,1365,8,11,
15880,1365,9,11,
15881,1365,10,11,
15882,1365,11,11,
15883,1365,12,11,
15884,1365,13,11,
15885,1365,14,11,
15886,1365,15,11,
15887,1365,16,11,
15888,1365,17,11,
15889,1365,18,11,
15890,1365,19,11,
15891,1365,20,11,
15892,1365,21,11,
15893,1365,22,11,
15894,1365,23,11,
15895,1365,24,11,
15896,1365,25,11,
15897,1365,26,11,
15898,1365,27,11,
15899,1365,28,11,
15900,1365,29,11,
15901,1365,30,11,
15902,1365,31,11,
17453,1365,1,12,
